source_url,item_title,category,description_raw,images,listed_price,currency,seller_location,listed_price_numeric,description_clean
https://www.liveauctioneers.com/item/222303689_swivel-folding-coat-hanger-rust-finish-florida,Swivel Folding Coat Hanger Rust Finish,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400624/222303689_1_x.jpg?height=54&quality=55&version=1765973926']",,USD,,,
https://www.liveauctioneers.com/item/222193035_pair-of-elegant-antique-victorian-era-eastlake-style-upholstered-side-chairs-connecticut,Pair of elegant antique Victorian era Eastlake-Style upholstered side chairs,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193035_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,
https://www.liveauctioneers.com/item/222193045_pair-of-rare-antique-wood-and-vinyl-folding-chairs-connecticut,Pair of rare antique wood and vinyl folding chairs,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193045_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,
https://www.liveauctioneers.com/item/222193043_antique-mission-arts-and-crafts-style-tiger-oak-large-round-pedestal-dining-table-connecticut,"Antique Mission ""Arts & Crafts"" Style Tiger Oak Large Round Pedestal Dining Table",Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193043_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,
https://www.liveauctioneers.com/item/222182461_rare-antique-17th-cen-korean-white-ceramic-jar-brooklyn-ny,RARE ANTIQUE 17TH CEN KOREAN WHITE CERAMIC JAR,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/6975/400468/222182461_1_x.jpg?height=54&quality=55&version=1765812305']",,USD,,,
https://www.liveauctioneers.com/item/221721625_fancy-antique-moroccan-ceramic-lidded-urn-dundee-oh,Fancy Antique Moroccan Ceramic Lidded Urn,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5636/399806/221721625_1_x.jpg?height=54&quality=55&version=1765325026']",,USD,,,
https://www.liveauctioneers.com/item/221292129_collection-of-antique-ceramic-jelly-moulds-montreal-quebec,Collection of Antique Ceramic Jelly Moulds,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/3185/399093/221292129_1_x.jpg?height=54&quality=55&version=1764786325']",,USD,,,
https://www.liveauctioneers.com/item/221176458_antique-japanese-silver-overlay-and-ceramic-vase-dania-beach-fl,Antique Japanese Silver Overlay and Ceramic Vase,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/1373/398912/221176458_1_x.jpg?height=54&quality=55&version=1764705037']",,USD,,,
https://www.liveauctioneers.com/item/222382175_vintage-decorative-antique-art-nouveau-brass-ink-well-hagerstown-md,Vintage Decorative Antique Art Nouveau Brass Ink Well,Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/1846/400736/222382175_1_x.jpg?height=54&quality=55&version=1765989408']",,USD,,,
https://www.liveauctioneers.com/item/219993724_english-lion-in-a-jungle-woolwork-19th-c-astoria-ny,"English Lion in a Jungle Woolwork, 19th C.",Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5649/396804/219993724_1_x.jpg?height=54&quality=55&version=1763159646']",,USD,,,
https://www.liveauctioneers.com/item/219993756_tiffany-studios-grapevine-bronze-picture-frame-astoria-ny,"Tiffany Studios ""Grapevine"" Bronze Picture Frame",Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5649/396804/219993756_1_x.jpg?height=54&quality=55&version=1763159646']",,USD,,,
https://www.liveauctioneers.com/item/219993777_daum-nancy-swan-lake-motif-cameo-glass-vase-astoria-ny,Daum Nancy Swan Lake Motif Cameo Glass Vase,Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5649/396804/219993777_1_x.jpg?height=54&quality=55&version=1763159646']",,USD,,,
