source_url,item_title,category,description_raw,images,listed_price,currency,seller_location,listed_price_numeric,description_clean,era_or_time_period,estimated_year_range,region_of_origin,functional_use,material,style,short_ai_summary,confidence_score
https://www.liveauctioneers.com/item/222303689_swivel-folding-coat-hanger-rust-finish-florida,Swivel Folding Coat Hanger Rust Finish,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400624/222303689_1_x.jpg?height=54&quality=55&version=1765973926']",,USD,,,,Late Victorian to Early 20th Century,1880-1930,North America or Europe,Space-saving garment storage and travel,Iron or Steel,Industrial Utilitarian,"An antique swivel folding coat hanger designed for compact storage, featuring a rusted iron finish characteristic of early 20th-century hardware.",0.85
https://www.liveauctioneers.com/item/222193035_pair-of-elegant-antique-victorian-era-eastlake-style-upholstered-side-chairs-connecticut,Pair of elegant antique Victorian era Eastlake-Style upholstered side chairs,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193035_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,,Victorian Era,1870-1890,United States or Great Britain,Seating,Walnut or Cherry wood with fabric upholstery,Eastlake,"A pair of Victorian-era side chairs featuring the geometric, incised carvings and modest proportions characteristic of the Eastlake movement.",0.95
https://www.liveauctioneers.com/item/222193045_pair-of-rare-antique-wood-and-vinyl-folding-chairs-connecticut,Pair of rare antique wood and vinyl folding chairs,Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193045_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,,Mid-Century Modern,1940-1960,North America or Europe,Portable seating,Wood and Vinyl,Mid-Century Modern,"A pair of vintage folding chairs constructed from wood with vinyl-covered seats, likely dating from the mid-20th century and used for flexible interior seating.",0.85
https://www.liveauctioneers.com/item/222193043_antique-mission-arts-and-crafts-style-tiger-oak-large-round-pedestal-dining-table-connecticut,"Antique Mission ""Arts & Crafts"" Style Tiger Oak Large Round Pedestal Dining Table",Furniture,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5584/400514/222193043_1_x.jpg?height=54&quality=55&version=1765974177']",,USD,,,,Arts & Crafts Movement,1900-1920,United States,Dining Table,Tiger Oak (Quartersawn Oak),Mission / Arts & Crafts,"A large round pedestal dining table made of tiger oak, exemplifying the Mission style of the Arts & Crafts movement with its focus on natural wood grain and sturdy construction.",0.95
https://www.liveauctioneers.com/item/222182461_rare-antique-17th-cen-korean-white-ceramic-jar-brooklyn-ny,RARE ANTIQUE 17TH CEN KOREAN WHITE CERAMIC JAR,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/6975/400468/222182461_1_x.jpg?height=54&quality=55&version=1765812305']",,USD,,,,Joseon Dynasty,1600-1699,Korea,Storage or decorative vessel,White porcelain (Baekja),Joseon Dynasty minimalist,"A rare 17th-century Korean white porcelain jar, typical of the Joseon Dynasty's refined and understated ceramic tradition, often referred to as Baekja.",0.95
https://www.liveauctioneers.com/item/221721625_fancy-antique-moroccan-ceramic-lidded-urn-dundee-oh,Fancy Antique Moroccan Ceramic Lidded Urn,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5636/399806/221721625_1_x.jpg?height=54&quality=55&version=1765325026']",,USD,,,,Late 19th to Early 20th Century,1880-1930,Morocco,Decorative storage or ritual vessel,Glazed Ceramic (Earthenware),Moorish / Islamic,"A traditional Moroccan ceramic lidded urn, likely from Fez or Safi, featuring intricate hand-painted geometric or floral motifs and a classic tin-glaze finish.",0.85
https://www.liveauctioneers.com/item/221292129_collection-of-antique-ceramic-jelly-moulds-montreal-quebec,Collection of Antique Ceramic Jelly Moulds,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/3185/399093/221292129_1_x.jpg?height=54&quality=55&version=1764786325']",,USD,,,,Victorian to Early 20th Century,1850-1920,United Kingdom,"Culinary tool for shaping jellies, blancmanges, and aspics",Ceramic (Ironstone or Creamware),Victorian Kitchenware,A collection of decorative ceramic moulds used in the 19th and early 20th centuries to create elaborate gelatin-based desserts and savory dishes.,0.9
https://www.liveauctioneers.com/item/221176458_antique-japanese-silver-overlay-and-ceramic-vase-dania-beach-fl,Antique Japanese Silver Overlay and Ceramic Vase,Ceramics,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/1373/398912/221176458_1_x.jpg?height=54&quality=55&version=1764705037']",,USD,,,,Meiji Era,1880-1912,Japan,Decorative vase,Ceramic and Silver,Meiji,"An antique Japanese vase characterized by a ceramic body adorned with detailed silver overlay, typical of high-quality export wares from the late 19th to early 20th century.",0.85
https://www.liveauctioneers.com/item/222382175_vintage-decorative-antique-art-nouveau-brass-ink-well-hagerstown-md,Vintage Decorative Antique Art Nouveau Brass Ink Well,Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/1846/400736/222382175_1_x.jpg?height=54&quality=55&version=1765989408']",,USD,,,,Art Nouveau,1890-1910,Europe,Inkwell for writing,Brass,Art Nouveau,"A decorative brass inkwell from the Art Nouveau period, featuring characteristic organic forms and used for holding ink for dip pens.",0.9
https://www.liveauctioneers.com/item/219993724_english-lion-in-a-jungle-woolwork-19th-c-astoria-ny,"English Lion in a Jungle Woolwork, 19th C.",Decorative Art,,"['https://www.facebook.com/tr?id=992512390846699&ev=PageView&noscript=1', 'https://p1.liveauctioneers.com/dist/images/logo.svg', 'https://p1.liveauctioneers.com/5649/396804/219993724_1_x.jpg?height=54&quality=55&version=1763159646']",,USD,,,,Victorian,1840-1890,England,Decorative wall art,Wool on canvas,Berlin Woolwork,"A 19th-century English needlework piece featuring a lion in a jungle setting, characteristic of Victorian-era exoticism and Berlin woolwork techniques.",0.9
